URL;CATEGORY;TYPEPREFIX;BRAND;MODEL;NAME;BRAND_RUS;NAME_RUS;STORE;WORDSTAT;ID
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3756.html;Холодильники;Холодильник;Liebherr;GT 3756;Морозильный ларь Liebherr GT 3756 GT 3756;Либхер;Морозильный ларь Либхер GT 3756 GT 3756;Снят с производства;;1355
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-4221-comfort.html;Холодильники;Холодильник;Liebherr;GT 4221;Морозильный ларь Liebherr GT 4221 Comfort GT 4221;Либхер;Морозильный ларь Либхер GT 4221 Comfort GT 4221;Снят с производства;;1333
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-4232-comfort.html;Холодильники;Холодильник;Liebherr;GT 4232;Морозильный ларь Liebherr GT 4232 Comfort GT 4232;Либхер;Морозильный ларь Либхер GT 4232 Comfort GT 4232;В наличии;;1436
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-4756-premium.html;Холодильники;Холодильник;Liebherr;GT 4756;Морозильный ларь Liebherr GT 4756 Premium GT 4756;Либхер;Морозильный ларь Либхер GT 4756 Premium GT 4756;Снят с производства;;1361
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-4921-comfort.html;Холодильники;Холодильник;Liebherr;GT 4921;Морозильный ларь Liebherr GT 4921 Comfort GT 4921;Либхер;Морозильный ларь Либхер GT 4921 Comfort GT 4921;Снят с производства;;1349
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-liebherr-gt-4932-comfort.html;Холодильники;Холодильник;Liebherr;GT 4932;Морозильный ларь Liebherr GT 4932 Comfort GT 4932;Либхер;Морозильный ларь Либхер GT 4932 Comfort GT 4932;В наличии;;1451
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-6121.html;Холодильники;Холодильник;Liebherr;GT 6121;Морозильный ларь Liebherr GT 6121 GT 6121;Либхер;Морозильный ларь Либхер GT 6121 GT 6121;Снят с производства;;1352
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-6122-comfort.html;Холодильники;Холодильник;Liebherr;GT 6122;Морозильный ларь Liebherr GT 6122 Comfort GT 6122;Либхер;Морозильный ларь Либхер GT 6122 Comfort GT 6122;В наличии;;1452
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gtp-2356-premium.html;Холодильники;Холодильник;Liebherr;GTP 2356;Морозильный ларь Liebherr GTP 2356 Premium GTP 2356;Либхер;Морозильный ларь Либхер GTP 2356 Premium GTP 2356;В наличии;;1292
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gtp-2756-premium.html;Холодильники;Холодильник;Liebherr;GTP 2756;Морозильный ларь Liebherr GTP 2756 Premium GTP 2756;Либхер;Морозильный ларь Либхер GTP 2756 Premium GTP 2756;В наличии;;1362
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gtp-3126-StopFrost.html;Холодильники;Холодильник;Liebherr;GTP 3126;Морозильный ларь Liebherr GTP 3126 Premium GTP 3126;Либхер;Морозильный ларь Либхер GTP 3126 Premium GTP 3126;В наличии;;1290
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-liebherr-gtp-3656-premium.html;Холодильники;Холодильник;Liebherr;GTP 3656;Морозильный ларь Liebherr GTP 3656 Premium GTP 3656;Либхер;Морозильный ларь Либхер GTP 3656 Premium GTP 3656;В наличии;;1548
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-liebherr-gtp-4656-premium.html;Холодильники;Холодильник;Liebherr;GTP 4656;Морозильный ларь Liebherr GTP 4656 Premium GTP 4656;Либхер;Морозильный ларь Либхер GTP 4656 Premium GTP 4656;В наличии;;1462
https://lbhr.ret-team.ru/liebherr/holodilniki/odnokamernye-kholodilniki-bez-morozilnika/kholodilnik-liebherr-b-2756-premium-biofresh.html;Холодильники;Холодильник;Liebherr;B 2756;Холодильник Liebherr B 2756 Premium BioFresh B 2756;Либхер;Холодильник Либхер B 2756 Premium BioFresh B 2756;Снят с производства;;1314
https://lbhr.ret-team.ru/liebherr/holodilniki/odnokamernye-kholodilniki-bez-morozilnika/kholodilnik-liebherr-b-2850-premium-biofresh.html;Холодильники;Холодильник;Liebherr;B 2850;Холодильник Liebherr B 2850 Premium BioFresh B 2850;Либхер;Холодильник Либхер B 2850 Premium BioFresh B 2850;В наличии;;1527
https://lbhr.ret-team.ru/liebherr/holodilniki/odnokamernye-kholodilniki-bez-morozilnika/kholodilnik-liebherr-bp-2850-premium-biofresh.html;Холодильники;Холодильник;Liebherr;BP 2850;Холодильник Liebherr BP 2850 Premium BioFresh BP 2850;Либхер;Холодильник Либхер BP 2850 Premium BioFresh BP 2850;В наличии;;1585
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-liebherr-c-3523.html;Холодильники;Холодильник;Liebherr;C 3523;Холодильник Liebherr C 3523 C 3523;Либхер;Холодильник Либхер C 3523 C 3523;Снят с производства;;1250
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-liebherr-c-3525-comfort.html;Холодильники;Холодильник;Liebherr;C 3525;Холодильник Liebherr C 3525 Comfort C 3525;Либхер;Холодильник Либхер C 3525 Comfort C 3525;В наличии;;1519
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-c-4023.html;Холодильники;Холодильник;Liebherr;C 4023;Холодильник Liebherr C 4023 C 4023;Либхер;Холодильник Либхер C 4023 C 4023;Снят с производства;;1188
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-liebherr-c-4025-comfort.html;Холодильники;Холодильник;Liebherr;C 4025;Холодильник Liebherr C 4025 Comfort C 4025;Либхер;Холодильник Либхер C 4025 Comfort C 4025;В наличии;;1518
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-liebherr-cbn-3656-premium-biofresh-nofrost.html;Холодильники;Холодильник;Liebherr;CBN 3656;Холодильник Liebherr CBN 3656 Premium BioFresh NoFrost CBN 3656;Либхер;Холодильник Либхер CBN 3656 Premium BioFresh NoFrost CBN 3656;Снят с производства;;1240
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-cbn-3913-comfort-biofresh-nofrost.html;Холодильники;Холодильник;Liebherr;CBN 3913;Холодильник Liebherr CBN 3913 Comfort BioFresh NoFrost CBN 3913;Либхер;Холодильник Либхер CBN 3913 Comfort BioFresh NoFrost CBN 3913;Снят с производства;;1193
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-cbn-3956-premium-biofresh-nofrost.html;Холодильники;Холодильник;Liebherr;CBN 3956;Холодильник Liebherr CBN 3956 Premium BioFresh NoFrost CBN 3956;Либхер;Холодильник Либхер CBN 3956 Premium BioFresh NoFrost CBN 3956;Снят с производства;;1236
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-liebherr-cbn-4815-comfort-biofresh-nofrost.html;Холодильники;Холодильник;Liebherr;CBN 4815;Холодильник Liebherr CBN 4815 Comfort BioFresh NoFrost CBN 4815;Либхер;Холодильник Либхер CBN 4815 Comfort BioFresh NoFrost CBN 4815;В наличии;;1517
https://lbhr.ret-team.ru/liebherr/holodilniki/dvukhkamernye-kholodilniki-s-morozilnikom/kholodilnik-cbn-5156-premium-biofresh-nofrost.html;Холодильники;Холодильник;Liebherr;CBN 5156;Холодильник Liebherr CBN 5156 Premium BioFresh NoFrost CBN 5156;Либхер;Холодильник Либхер CBN 5156 Premium BioFresh NoFrost CBN 5156;Снят с производства;;1232
